REF_AREA;QUARTER;GDP_PER_CAPITA_USD_PPP;OBS_STATUS;REF_YEAR_PRICE;UNE_RATE_PCT;GDP_GROWTH_QOQ_PCT;UNE_CHANGE_QOQ_PP;GDP_LAG_1Q;UNE_LAG_1Q;GDP_LAG_2Q;UNE_LAG_2Q;GDP_ROLLING_4Q;UNE_ROLLING_4Q;GDP_GROWTH_YOY_PCT;UNE_CHANGE_YOY_PP;OBS_STATUS_ENC;QUARTER_IDX;YEAR;COUNTRY_IDX;GDP_GROUP;GDP_GROUP_ENC
CZE;2024Q2;47575.0;A;2020.0;2.6999999999999997;0.49747039998309095;-0.16666666666666696;47339.5;2.8666666666666667;47250.3;2.766666666666667;47315.05;2.7416666666666667;0.408599154942646;0.13333333333333286;2;5;2024;8;HIGH;1
CZE;2024Q3;47774.6;A;2020.0;2.733333333333333;0.41954808197581794;0.033333333333333215;47575.0;2.6999999999999997;47339.5;2.8666666666666667;47484.85;2.7666666666666666;1.4421790663206924;0.09999999999999964;2;6;2024;8;HIGH;1
CZE;2024Q4;48133.8;A;2020.0;2.6666666666666665;0.7518639611844069;-0.06666666666666643;47774.6;2.733333333333333;47575.0;2.6999999999999997;47705.725000000006;2.7416666666666667;1.8698293979085845;-0.10000000000000053;2;7;2024;8;HIGH;1
CZE;2025Q1;48472.5;A;2020.0;2.6333333333333333;0.7036635378881329;-0.033333333333333215;48133.8;2.6666666666666665;47774.6;2.733333333333333;47988.975000000006;2.683333333333333;2.3933501621267617;-0.2333333333333334;2;8;2025;8;HIGH;1
CZE;2025Q2;48784.5;A;2020.0;2.9;0.6436639331579785;0.2666666666666666;48472.5;2.6333333333333333;48133.8;2.6666666666666665;48291.350000000006;2.7333333333333334;2.542301629006838;0.20000000000000018;2;9;2025;8;HIGH;1
CZE;2025Q3;49142.4;A;2020.0;3.0;0.7336346585493425;0.10000000000000009;48784.5;2.9;48472.5;2.6333333333333333;48633.3;2.8;2.8630276339310035;0.26666666666666705;2;10;2025;8;HIGH;1
CZE;2025Q4;49562.6;A;2020.0;3.1666666666666665;0.8550660936380794;0.16666666666666652;49142.4;3.0;48784.5;2.9;48990.5;2.925;2.9683922732050894;0.5;2;11;2025;8;HIGH;1
DEU;2023Q1;61655.8;P;2020.0;3.033333333333333;;;;;;;;;;;1;0;2023;9;HIGH;1
DEU;2023Q2;61560.8;P;2020.0;3.0;-0.15408120566110517;-0.033333333333333215;61655.8;3.033333333333333;;;61608.3;3.0166666666666666;;;1;1;2023;9;HIGH;1
DEU;2023Q3;61495.7;P;2020.0;3.0666666666666664;-0.10574911307196233;0.06666666666666643;61560.8;3.0;61655.8;3.033333333333333;61570.76666666666;3.033333333333333;;;1;2;2023;9;HIGH;1
DEU;2023Q4;61241.3;P;2020.0;3.1666666666666665;-0.4136874610745078;0.10000000000000009;61495.7;3.0666666666666664;61560.8;3.0;61488.4;3.0666666666666664;;;1;3;2023;9;HIGH;1
DEU;2024Q1;61152.7;P;2020.0;3.233333333333333;-0.14467361078227547;0.06666666666666643;61241.3;3.1666666666666665;61495.7;3.0666666666666664;61362.625;3.1166666666666663;-0.8159816270326692;0.19999999999999973;1;4;2024;9;HIGH;1
DEU;2024Q2;60960.5;P;2020.0;3.4;-0.31429519874019984;0.16666666666666696;61152.7;3.233333333333333;61241.3;3.1666666666666665;61212.55;3.2166666666666663;-0.97513352652987;0.3999999999999999;1;5;2024;9;HIGH;1
DEU;2024Q3;60955.4;P;2020.0;3.4;-0.008366073112919814;0.0;60960.5;3.4;61152.7;3.233333333333333;61077.475;3.3;-0.878598015796217;0.3333333333333335;1;6;2024;9;HIGH;1
DEU;2024Q4;61049.6;P;2020.0;3.4333333333333336;0.15453922047923285;0.03333333333333366;60955.4;3.4;60960.5;3.4;61029.55;3.3666666666666667;-0.31302405402890976;0.26666666666666705;1;7;2024;9;HIGH;1
DEU;2025Q1;61281.9;P;2020.0;3.5666666666666664;0.3805102736135879;0.13333333333333286;61049.6;3.4333333333333336;60955.4;3.4;61061.85;3.45;0.21127439998560593;0.3333333333333335;1;8;2025;9;HIGH;1
